gene	p	score
INHBE	0.0229093474841612	1.99705972874248
INHBC	0.0229093474841612	1.99705972874248
ODAM	0.0229350718076115	1.99658628809756
OPTN	0.0231188169751135	1.99321751543632
ARHGAP26	0.0231812903320643	1.99207726823239
MME	0.0234385335665672	1.98740921681983
PLA2G12B	0.02351	1.98612000925226
MAP1LC3B	0.0239640447456232	1.97800547079542
PARVB	0.0241477899131253	1.97475833106758
SNRPA1	0.0244234076643784	1.96992632114189
ACTR3C	0.025004042393685	1.95989482353591
FAS	0.0251106145908363	1.95807486024515
RAB5B	0.0251326640109365	1.9576991247008
ATR	0.0254634053124403	1.95209597836858
ZSCAN32	0.0260624145584971	1.94210137485248
HPR	0.0261910361757486	1.93998039645631
CYP26A1	0.0262167604991989	1.93955724632566
MAP4K4	0.026396830763351	1.93660487559897
RND3	0.0266981728380543	1.93170161224405
MED16	0.0271281365300092	1.92478490629554
OR5A2	0.0272163342104103	1.92337741646989
RP11-565P22.6	0.0272714577606609	1.92249966648497
PTPN6	0.02754	1.91824462702775
BLOC1S3	0.02754	1.91824462702775
PLCD3	0.0276389480956651	1.91668551793825
CCNB1	0.02802	1.91072445803892
SORBS3	0.0285650237398757	1.90231452819874
HOXA11	0.0286679210336768	1.90074178870933
ACTA2	0.0288884152346793	1.89738737644901
CYP2C8	0.0296270708080377	1.88630295271522
PIK3R3	0.0301011333401932	1.8793093432358
GAPDH	0.030347351864646	1.87571297174088
LAMC2	0.0307552661365006	1.86980765997139
ITGA7	0.0310345587911038	1.86580167733216
OR4X1	0.031843037528113	1.85437117983086
PIK3CD	0.0340259301180379	1.82466326342408
OR10S1	0.0361426744476621	1.79731674788238
OR4D6	0.0364403416190154	1.79357716963462
OR7C1	0.0369768775081215	1.78689936597634
OR2B6	0.0401152449690573	1.74935027850253
OR51F2	0.0435292301812462	1.71112272247442
OR10G7	0.04406	1.70539918633183
OR52A5	0.0477921180672948	1.66664891617261
OR4D10	0.0548075085625248	1.59992592576425
OR2AE1	0.0573689161975041	1.57725078197391
OR2C3	0.060433785591439	1.55114236216694
OR6M1	0.0618780226080055	1.53919767437684
OR52B6	0.0619478457716562	1.53862573731937
OR7A5	0.0638698202237281	1.52307620804059
OR1L6	0.06405	1.52163724426982
ADRBK2	0.0653067074335945	1.51168736324041
OR4K17	0.0689228123300357	1.48386166139648
OR6X1	0.0689228123300357	1.48386166139648
OR51H1P	0.0702053535992003	1.47426331939089
OR2Y1	0.0748136824001528	1.4408489364601
OR51B4	0.0776837819165356	1.42082526501737
OR2L3	0.08699	1.35952590319794
OR4L1	0.087098884299343	1.35883850585872
OR51S1	0.0883483514383572	1.35099603482404
OR4D5	0.0907848123594349	1.33593773819388
OR6T1	0.0907848123594349	1.33593773819388
OR10AD1	0.104021814226286	1.25896318830548
OR1S2	0.105087536197798	1.2530841809733
OR1E2	0.107468873568625	1.2401017896114
OR10G4	0.1095	1.22919154022989
OR10G9	0.1095	1.22919154022989
OR5C1	0.113532464096194	1.20795407412177
OR5F1	0.124013288450514	1.15515593257304
OR10J3	0.124174984197916	1.15436643900279
OR9Q2	0.135614958326596	1.10023460502047
OR5M1	0.136236016992753	1.09738750312425
OR10T2	0.137805200723221	1.09023326974643
OR8D2	0.152317394052536	1.02654494822453
OR13C4	0.154040923723706	1.01925515623794
OR5M3	0.15527936615267	1.01405034006087
OR52R1	0.155804877331726	1.01185005095932
OR6C68	0.1566	1.00853019402783
OR2K2	0.1591	0.99816367003084
OR2V1	0.1595	0.996514964161358
OR10K1	0.162882741183907	0.982678933036301
OR1N2	0.163948463155419	0.978358741944223
OR1N1	0.166197504005645	0.969301045092726
OR5M11	0.167704214379162	0.963277206569878
OR10K2	0.167968807420365	0.962222966626729
OR7A10	0.17281967984242	0.943081222225275
OR13C3	0.173007099913272	0.942348587904214
OR5D13	0.173098972497023	0.941989638116921
OR5AR1	0.175939672786606	0.930950160782552
OR4D11	0.1866	0.890495283195727
OR1I1	0.18950374105161	0.879726514528239
OR51L1	0.192752355613047	0.867798390637707
OR8D4	0.196357435799438	0.854704296099666
OR2M4	0.2017	0.83556440578012
OR1J4	0.204754589954284	0.824757675814716
OR4X2	0.209873730320893	0.806859454628416
OR2B2	0.210064825295095	0.80619633678674
OR5K1	0.2174	0.781004241619996
OR13C8	0.219645298328654	0.773391706602955
OR5A1	0.222026635699481	0.76536660746793
OR56B4	0.222897587793441	0.762443796085591
OR2M2	0.2247	0.756415696348337
OR2W3	0.228564288759206	0.743583352811765
OR6C6	0.2356	0.720527945452931
OR10A3	0.240143909215188	0.705839719139936
OR52H1	0.242389275162063	0.698637582746545
OR2S2	0.243719590174778	0.694387580231808
OR56A4	0.24559746578665	0.688409518253018
OR6J1	0.251153919651913	0.670862952396752
OR4D9	0.2513	0.67040444789155
OR10J5	0.254159990592247	0.661455909355416
OR52J3	0.256195887048171	0.655118015050611
OR56B1	0.260128033632715	0.642950734891931
OR13J1	0.268896353025915	0.616154271180142
OR5D14	0.2719	0.607076718321205
